,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category
1921,AMD A10-6700T APU,11808.8,2311,15.66,1310,8.87,45.0,2,FM2,Desktop
1922,Intel Celeron G3920 @ 2.90GHz,81440.0,2310,2.27,1740,1.71,51.0,2,LGA 1151,Desktop
1923,Intel Celeron G5905T @ 3.30GHz,3360.0,2310,55.01,1996,47.52,35.0,2,LGA 1200,Desktop
1925,Intel Xeon X3380 @ 3.16GHz,40796.0,2308,4.53,1335,2.62,95.0,4,LGA 775,Server
1931,AMD Athlon II X4 645,2308.0,2298,79.64,1264,43.82,95.0,4,AM3,Desktop
1932,Intel Core i5-2540M @ 2.60GHz,3760.0,2297,48.86,1380,29.37,35.0,2,BGA 1023,Laptop
1934,Intel Core2 Quad Q9550 @ 2.83GHz,2636.0,2291,69.52,1223,37.12,95.0,4,LGA 775,Desktop
1936,Intel Core i3-3240 @ 3.40GHz,3373.6,2287,54.22,1805,42.8,55.0,2,LGA 1155,Desktop
1937,Intel Pentium 5405U @ 2.30GHz,12880.0,2286,14.2,1340,8.32,15.0,2,BGA 1528,Laptop
1941,Intel Xeon X3363 @ 2.83GHz,7008.0,2283,26.07,1240,14.16,80.0,4,LGA 771,Server
1944,Intel Pentium 4417U @ 2.30GHz,12880.0,2276,14.13,1327,8.24,15.0,2,BGA 1356,Laptop
1948,Intel Xeon L3360 @ 2.83GHz,7138.4,2273,25.47,1226,13.74,65.0,4,LGA 775,Server
1949,Intel Celeron G3930 @ 2.90GHz,14390.4,2270,12.62,1794,9.97,51.0,2,LGA 1151,Desktop
1950,AMD Phenom II X4 840T,4641.6,2269,39.1,1274,21.96,95.0,4,AM2+/AM3,Unknown
1951,Intel Core i5-3427U @ 1.80GHz,33604.0,2269,5.4,1369,3.26,17.0,2,BGA 1023,Laptop
1952,Intel Core2 Extreme Q6850 @ 3.00GHz,119676.0,2268,1.52,1230,0.82,130.0,4,LGA 775,Desktop
1953,Intel Core2 Extreme Q6800 @ 2.93GHz,90000.0,2267,2.02,1202,1.07,75.0,4,LGA 775,Desktop
1956,AMD Phenom II X4 945,2200.0,2261,82.23,1226,44.6,125.0,4,AM3,Desktop
1957,Intel Xeon L5430 @ 2.66GHz,18160.0,2260,9.96,1154,5.08,50.0,4,LGA 771,Server
1959,Intel Xeon X3430 @ 2.40GHz,5752.8,2253,31.32,991,13.78,95.0,4,LGA 1156,Server
1961,Intel Core i5-2520M @ 2.50GHz,3368.0,2252,53.5,1375,32.66,35.0,2,PGA988B,Laptop
1963,AMD A8-3850 APU,5441.6,2244,32.99,1207,17.74,100.0,4,FM1,Desktop
1969,Intel Celeron J3455 @ 1.50GHz,27920.0,2237,6.41,806,2.31,10.0,4,BGA 1296,Desktop
1972,Intel Xeon X3353 @ 2.66GHz,5880.0,2229,30.33,1173,15.96,80.0,4,LGA 775,Server
1973,AMD Phenom II X4 940,69600.0,2228,2.56,1210,1.39,125.0,4,AM2+,Desktop
1975,Intel Core i3-5020U @ 2.20GHz,36720.0,2226,4.85,1279,2.79,15.0,2,BGA 1168,Laptop
1976,Intel Core i3-3225 @ 3.30GHz,16000.0,2222,11.11,1688,8.44,55.0,2,LGA 1155,Desktop
1977,Intel Celeron G3930TE @ 2.70GHz,3360.0,2218,52.82,1706,40.61,35.0,2,LGA 1151,Desktop
1979,Intel Xeon X5472 @ 3.00GHz,18000.0,2218,9.86,1259,5.6,120.0,4,LGA 771,Server
1981,Intel Core i5-650 @ 3.20GHz,2718.4,2215,65.19,1386,40.78,73.0,2,LGA 1156,Desktop
