,driveName,type,diskCapacity,diskMark,rank,price,driveValue,priceperGB,testDate
2082,Plextor M5 Pro 512 GB PX-512M5P,SSD,476.9,4325,2083,33599.2,10.3,0.88,2012
2083,Apacer AS330 480GB,SSD,447.1,4324,2084,11199.2,30.89,0.31,2016
2090,512GB SSD,SSD,476.9,4314,2091,3999.2,86.3,0.1,2019
2093,SanDisk SD8SN8U-256G-1006,SSD,238.5,4313,2094,6692.8,51.56,0.35,2016
2097,TOSHIBA THNSNH256GMCT,SSD,238.5,4305,2098,7920.0,43.49,0.42,2013
2098,ADATA SU800 SSD 512GB,SSD,476.9,4304,2099,4799.2,71.74,0.13,2016
2099,Crucial CT500MX200SSD6,SSD,465.8,4302,2100,23821.6,14.45,0.64,2015
2104,T-FORCE 1TB,SSD,931.5,4298,2105,8799.2,39.07,0.12,2018
2121,Mushkin Reactor 512GB MKNSSDRE512GB,SSD,476.9,4282,2122,22399.2,15.29,0.59,2015
2124,INTEL 730 480GB SSDSC2BP480G4,SSD,447.1,4280,2125,42245.6,8.1,1.18,2014
2132,WDC WDS250G1B0A,SSD,232.9,4273,2133,5199.2,65.75,0.28,2016
2133,Micron M600 MTFDDAV256MBF,SSD,238.5,4272,2134,11128.8,30.71,0.58,2015
2138,SAMSUNG SSD PM871 mSATA 512GB,SSD,476.9,4265,2139,15999.2,21.33,0.42,2015
2144,Intel SSD Pro 1500 240GB,SSD,223.6,4254,2145,2159.2,157.63,0.12,2014
2147,HFS120G32TND-N1A2A,SSD,111.8,4251,2148,17514.4,19.42,1.96,2016
2153,SanDisk Ultra II 1TB,SSD,931.5,4246,2154,36252.0,9.37,0.49,2017
2155,Intel SSD Pro 5400s 180GB M.2,SSD,167.7,4245,2156,7068.0,48.05,0.53,2016
2160,SAMSUNG MZ7LM480HCHP-00003,SSD,447.1,4242,2161,7999.2,42.42,0.22,2016
2169,SanDisk SD7SN6S-512G-1006,SSD,476.9,4235,2170,11996.0,28.24,0.31,2015
2177,TOSHIBA THNSNF256GMCS,SSD,238.5,4226,2178,7415.2,45.59,0.39,2012
2179,Crucial CT250MX200SSD4,SSD,232.9,4225,2180,14928.0,22.64,0.8,2015
2183,Intel SSD DC S3500 480GB,SSD,447.1,4221,2184,15600.0,21.65,0.44,2013
2184,SanDisk SDSSDH3 500G,SSD,465.8,4221,2185,5759.2,58.63,0.15,2019
2187,Intel SSD 520 240GB 9.5mm,SSD,223.6,4219,2188,19199.2,17.58,1.07,2012
2198,Crucial CT1024M550SSD1,SSD,953.9,4213,2199,36718.4,9.18,0.48,2014
2199,SanDisk Ultra II 480GB,SSD,447.1,4211,2200,11936.0,28.22,0.33,2015
2202,SAMSUNG PM871 512GB,SSD,476.9,4209,2203,5596.0,60.17,0.15,2015
2203,Crucial CT1000BX100SSD1,SSD,931.5,4209,2204,67704.0,4.97,0.91,2015
2213,ADATA SU800 SSD 1TB,SSD,953.9,4198,2214,9915.2,33.87,0.13,2017
2215,ADATA SU800 M.2 SSD 256GB,SSD,238.5,4198,2216,3999.2,83.97,0.21,2017
2217,Micron 1300 256GB,SSD,238.5,4196,2218,6072.8,55.28,0.32,2019
2222,Samsung SSD 840 EVO 500GB mSATA,SSD,465.8,4189,2223,23999.2,13.96,0.64,2014
2238,ADATA XPG SX900 256GB,SSD,238.5,4178,2239,19528.8,17.11,1.02,2012
2243,PNY CS2211 480GB SSD,SSD,447.1,4174,2244,14330.4,23.3,0.4,2016
2244,Transcend TS512GMTS430S,SSD,476.9,4173,2245,10799.2,30.92,0.28,2019
2249,Samsung SSD 860 EVO 250GB,SSD,232.9,4172,2250,7317.6,45.61,0.39,2018
2252,SanDisk Ultra II 240GB,SSD,223.6,4166,2253,13320.0,25.02,0.74,2015
2256,Mushkin Reactor 1TB MKNSSDRE1TB,SSD,931.5,4163,2257,17979.2,18.52,0.24,2015
2266,OCZ Vertex 4 256GB,SSD,238.5,4150,2267,22400.0,14.82,1.17,2012
2270,Seagate BarraCuda SSD ZA500CM10002,SSD,465.8,4145,2271,11100.8,29.87,0.3,2018
2271,PLEXTOR PX-512M8VC,SSD,476.9,4144,2272,8800.0,37.68,0.23,2020
2276,Transcend TS512GMTS800,SSD,476.9,4142,2277,23972.8,13.82,0.63,2015
2279,Mushkin Reactor 500GB MKNSSDRE500GB,SSD,465.8,4139,2280,7837.6,42.25,0.21,2017
2296,Patriot Ignite,SSD,447.1,4122,2297,23411.2,14.09,0.65,2015
2297,Transcend TS512GSSD370,SSD,476.9,4122,2298,18280.0,18.04,0.48,2014
2298,Seagate ST240FP0021,SSD,223.6,4121,2299,31119.2,10.59,1.74,2014
2302,GIGABYTE GP-GSTFS30512GTTD,SSD,476.9,4119,2303,22988.8,14.33,0.6,2018
2305,KINGSTON SKC400S371T,SSD,953.9,4117,2306,34056.0,9.67,0.45,2016
2313,Transcend TS512GMSA370,SSD,476.9,4110,2314,19354.4,16.99,0.51,2015
2316,Intel SSD Pro 6000p 128GB,SSD,119.2,4108,2317,4960.0,66.26,0.52,2018
2317,WDC WDS250G2B0A,SSD,232.9,4107,2318,5035.2,65.25,0.27,2017
2320,Intel SSD DC S3710 800GB,SSD,745.2,4106,2321,43920.0,7.48,0.74,2015
2321,Crucial CT500BX100SSD1,SSD,465.8,4105,2322,7748.0,42.39,0.21,2015
2328,WDC WDBNCE2500PNC,SSD,232.9,4102,2329,7235.2,45.35,0.39,2017
2330,SanDisk SD7SB6S-256G,SSD,238.5,4101,2331,10399.2,31.55,0.55,2015
2334,CT960BX200SSD1,SSD,894.3,4097,2335,23821.6,13.76,0.33,2016
2338,Crucial CT275MX300SSD4,SSD,256.2,4095,2339,7999.2,40.95,0.39,2016
2341,Micron M600 MTFDDAY256MBF,SSD,238.5,4092,2342,23821.6,13.74,1.25,2015
2351,Samsung SSD 850 PRO 128GB,SSD,119.2,4080,2352,14380.0,22.7,1.51,2014
2355,SAMSUNG SSD SM841N 2.5 7mm 512GB,SSD,476.9,4076,2356,19600.0,16.64,0.51,2014
2357,Mushkin Chronos Deluxe 240GB MKNSSDCR240GB-DX,SSD,223.6,4075,2358,13998.4,23.29,0.78,2011
2358,CT120BX300SSD1,SSD,111.8,4074,2359,6319.2,51.57,0.71,2017
2367,OCZ Vector 150,SSD,111.8,4067,2368,64048.0,5.08,7.16,2013
2369,Mushkin Reactor 480GB MKNSSDRE480GB,SSD,447.1,4065,2370,8799.2,36.96,0.25,2017
2372,Samsung SSD 860 EVO mSATA 250GB,SSD,232.9,4061,2373,9352.0,34.74,0.5,2018
2374,INTEL SSDSC2BW240A,SSD,223.6,4060,2375,15120.0,21.48,0.85,2014
2387,Samsung SSD 850 EVO 250GB,SSD,232.9,4050,2388,14320.0,22.63,0.77,2014
2390,MK0800GCTZB,SSD,745.2,4049,2391,30116.0,10.75,0.51,2016
2399,KINGSTON KINGSTON SH103S3,SSD,223.6,4043,2400,10340.8,31.28,0.58,2013
2402,Micron M600 MTFDDAK1T0MBF,SSD,953.9,4041,2403,7199.2,44.9,0.09,2016
2403,Crucial CT750MX300SSD1,SSD,698.6,4040,2404,21996.0,14.7,0.39,2016
2412,Intel SSD 535 180GB M.2,SSD,167.7,4035,2413,16000.0,20.18,1.19,2015
2417,ADATA SU750,SSD,476.9,4032,2418,4616.8,69.86,0.12,2019
2421,Samsung SSD 750 EVO 500GB,SSD,465.8,4028,2422,15999.2,20.14,0.43,2016
2423,PNY CS1311 960GB SSD,SSD,894.3,4027,2424,22608.8,14.25,0.32,2016
2426,Crucial CT525MX300SSD1,SSD,489.0,4027,2427,26398.4,12.2,0.67,2016
2434,Patriot Mac Series XT 240GB,SSD,223.6,4019,2435,4501.6,71.42,0.25,2013
2436,MTFDDAV256TBN,SSD,238.5,4017,2437,9700.0,33.13,0.51,2016
2442,PLEXTOR PX-256M5S,SSD,238.5,4016,2443,15476.0,20.76,0.81,2013
2448,Crucial CT256M550SSD4,SSD,238.5,4012,2449,13421.6,23.91,0.7,2014
2449,T-FORCE 250GB,SSD,238.5,4011,2450,8655.2,37.08,0.45,2018
2455,SSD PLUS 480GB,SSD,447.1,4007,2456,6132.0,52.27,0.17,2016
2457,SAMSUNG MZNLN256HMHQ-00000,SSD,238.5,4004,2458,6665.6,48.06,0.35,2016
2461,SanDisk Ultra II 960GB,SSD,894.3,4003,2462,37056.0,8.64,0.52,2015
2463,SanDisk X400,SSD,119.2,4002,2464,13127.2,24.39,1.38,2017
2470,Kingston HyperX 3K 240GB SH103S3240G,SSD,223.6,3997,2471,15599.2,20.5,0.87,2012
2471,Intel SSD 535 240GB M.2,SSD,223.6,3997,2472,14237.6,22.46,0.8,2016
2477,WDC WDS500G1R0A,SSD,465.8,3995,2478,6383.2,50.06,0.17,2020
2480,Samsung SSD 870 EVO 500G,SSD,465.8,3992,2481,10239.2,31.19,0.27,2021
2481,Lexar 256GB SSD,SSD,238.5,3992,2482,3119.2,102.38,0.16,2019
2486,PLEXTOR PX-G128M6e,SSD,119.2,3987,2487,12743.2,25.03,1.34,2014
2491,PLEXTOR PX-256M5M,SSD,238.5,3984,2492,38126.4,8.36,2.0,2013
2494,ADATA SU800 SSD 256GB,SSD,238.5,3982,2495,3039.2,104.83,0.16,2016
2509,TOSHIBA THNSNJ128GMCU,SSD,119.2,3969,2510,22658.4,14.01,2.38,2014
2518,EDGE E3 SSD,SSD,476.9,3964,2519,10229.6,31.0,0.27,2016
2519,Cruicial CT250BX100SSD1,SSD,232.9,3964,2520,7599.2,41.73,0.41,2015
2530,VisionTek 120GB mSATA,SSD,111.8,3958,2531,5956.0,53.16,0.67,2013
2531,Crucial CT480M500SSD4,SSD,447.1,3958,2532,20678.4,15.31,0.58,2014
2536,INTEL SSDSCKHW240A4,SSD,223.6,3956,2537,11920.0,26.55,0.67,2014
2537,SAMSUNG MZNTY128HDHP-000L2,SSD,119.2,3956,2538,4183.2,75.66,0.44,2016
2539,Samsung SSD 840 EVO 500GB,SSD,465.8,3956,2540,20780.0,15.23,0.56,2013
2542,PLEXTOR PX-128M6Pro,SSD,119.2,3953,2543,7280.0,43.44,0.76,2014
2551,PLEXTOR PX-512M6S,SSD,476.9,3947,2552,41119.2,7.68,1.08,2015
2554,HFS250G32TND-N1A2A,SSD,232.9,3946,2555,7512.0,42.02,0.4,2016
2557,PNY CS1311 240GB SSD,SSD,223.6,3939,2558,8636.8,36.48,0.48,2016
2563,SAMSUNG SSD SM841N 2.5 7mm 256GB,SSD,238.5,3935,2564,13426.4,23.44,0.7,2014
2564,TOSHIBA Q300.,SSD,447.1,3934,2565,40800.0,7.71,1.14,2016
2571,SAMSUNG MZVLV128HCGR-00000,SSD,119.2,3931,2572,5040.0,62.39,0.53,2016
2573,INTEL SSDSC2BB300G,SSD,279.5,3929,2574,11512.0,27.3,0.51,2018
2579,Transcend TS128GMTS430S,SSD,119.2,3924,2580,6479.2,48.46,0.68,2020
2585,Plextor M3 512GB PX-512M3,SSD,476.9,3922,2586,28799.2,10.89,0.75,2012
2604,Intel SSD 545s 256GB M.2,SSD,238.5,3905,2605,9253.6,33.76,0.48,2017
2613,Corsair Force GS,SSD,223.6,3898,2614,39247.2,7.95,2.19,2012
2614,Samsung SSD 850 EVO mSATA 250GB,SSD,232.9,3898,2615,6320.0,49.34,0.34,2015
2616,OCZ-VECTOR,SSD,476.9,3897,2617,24880.0,12.53,0.65,2012
2618,SEAGATE ST240FP0,SSD,223.6,3896,2619,24312.0,12.82,1.36,2014
2624,Intel SSD 520 480GB 9.5mm,SSD,447.1,3893,2625,39999.2,7.79,1.12,2012
2629,Kingston HyperX 3K 480GB SH103S3480G,SSD,447.1,3888,2630,36290.4,8.57,1.01,2013
2632,ADATA SX910 128GB,SSD,119.2,3886,2633,10399.2,29.89,1.09,2012
2636,Mushkin Triactor 250GB MKNSSDTR250GB,SSD,232.9,3883,2637,6398.4,48.55,0.34,2016
2640,Intel SSD Pro 5450s 256GB,SSD,238.5,3881,2641,7731.2,40.16,0.41,2018
2646,TOSHIBA THNSNH128GBST,SSD,119.2,3876,2647,4443.2,69.78,0.47,2013
2651,T-FORCE 512GB,SSD,476.9,3875,2652,5487.2,56.49,0.14,2020
2656,SanDisk X400 M.2 2280 128GB,SSD,119.2,3872,2657,2072.8,149.46,0.22,2016
2661,SAMSUNG MZ7PD256HAFV-000H7,SSD,238.5,3871,2662,3920.0,78.99,0.21,2013
2666,Samsung SSD 750,SSD,232.9,3866,2667,5996.0,51.58,0.32,2016
2667,Micron 1100,SSD,238.5,3866,2668,11519.2,26.85,0.6,2017
2672,Crucial CT500MX200SSD3,SSD,465.8,3865,2673,31695.2,9.76,0.85,2015
