,gpuName,G3Dmark,G2Dmark,price,gpuValue,TDP,testDate,category
682,FirePro V8700,1539,527,157.88,9.75,,2015,Unknown
685,Radeon HD 4890,1533,103,89.99,17.04,190.0,2012,Desktop
686,GeForce GT 740,1529,344,236.99,6.45,64.0,2014,Desktop
694,Quadro 4000,1489,366,978.99,1.52,142.0,2010,Workstation
696,Radeon R9 255,1485,395,344.16,4.31,,2014,Desktop
709,GeForce GTX 660M,1414,271,78.99,17.91,50.0,2012,Mobile
714,GeForce GTX 275,1401,106,431.72,3.24,219.0,2012,Desktop
716,Radeon HD 4870,1391,72,79.99,17.39,150.0,2012,Desktop
719,Radeon R9 M370X,1374,346,889.0,1.55,50.0,2015,Mobile
723,Radeon HD 5770,1351,328,189.99,7.11,108.0,2012,Desktop
724,Quadro K2100M,1348,281,415.99,3.24,55.0,2013,Workstation
731,GeForce GTS 450,1321,303,79.99,16.52,106.0,2012,Desktop
738,Quadro 4000M,1307,256,232.06,5.63,100.0,2011,Workstation
744,Radeon Vega 6,1296,353,1799.99,0.72,,2018,Unknown
749,FirePro 3D V8750,1272,542,1230.99,1.03,154.0,2009,Workstation
750,FirePro V5900,1271,352,86.0,14.78,75.0,2011,Workstation
755,Quadro FX 5800,1248,134,274.0,4.55,189.0,2009,Workstation
764,FirePro 3D V5800,1232,339,204.0,6.04,74.0,2010,Workstation
766,Radeon HD 6770,1231,313,264.99,4.65,108.0,2011,Desktop
768,GeForce GTX 260,1221,88,79.99,15.27,202.0,2012,Desktop
769,Radeon HD 7730,1217,402,232.7,5.23,47.0,2015,Desktop
771,FirePro 3D V8700,1206,515,170.07,7.09,151.0,2010,Workstation
780,FirePro V5800,1186,339,53.0,22.37,,2016,Unknown
782,GeForce GT 640,1182,285,109.99,10.74,65.0,2011,Desktop
783,GeForce GTX 280,1181,121,522.78,2.26,236.0,2012,Desktop
785,GeForce GTX 295,1171,150,159.99,7.32,289.0,2009,Desktop
788,Barco MXRT 5400,1161,457,203.0,5.72,,2016,Unknown
791,Radeon HD 5750,1156,336,69.99,16.52,86.0,2012,Desktop
792,Radeon R7 250,1151,296,189.97,6.06,75.0,2013,Desktop
797,NVS 810,1141,313,624.99,1.83,,2016,Unknown
808,Radeon R9 M275,1115,569,699.99,1.59,,2014,Mobile
809,Radeon R7 430,1110,416,199.99,5.55,,2017,Unknown
815,GeForce GT 545,1096,342,55.59,19.71,,2012,Unknown
821,Quadro K1100M,1082,250,322.99,3.35,45.0,2013,Workstation
823,Barco MXRT 5450,1079,478,199.99,5.4,,2013,Unknown
848,Quadro K2000M,1027,256,144.04,7.13,55.0,2012,Workstation
