,cpuName,price,cpuMark,cpuValue,threadMark,threadValue,TDP,cores,socket,category,brnd
420,Intel Core i7-11700T @ 1.40GHz,25840.0,15271,47.28,2859,8.85,35.0,8,LGA 1200,Desktop,Intel
421,Intel Core i5-11600T @ 1.70GHz,17040.0,15254,71.61,2884,13.54,35.0,6,LGA 1200,Desktop,Intel
428,Intel Core i9-10900T @ 1.90GHz,35120.0,15134,34.47,2523,5.75,35.0,10,LGA 1200,Desktop,Intel
440,Intel Xeon W-1250P @ 4.10GHz,47732.8,14924,25.01,2985,5.0,125.0,6,LGA 1200,"Desktop, Server",Intel
453,AMD Ryzen 7 1700,12214.4,14628,95.81,1985,13.0,65.0,8,AM4,Desktop,AMD
455,Intel Core i5-10600KF @ 4.10GHz,14798.4,14575,78.79,2948,15.94,125.0,6,LGA 1200,Desktop,Intel
459,Intel Core i5-10600K @ 4.10GHz,17037.6,14534,68.24,2936,13.78,125.0,6,LGA 1200,Desktop,Intel
462,Intel Core i3-12100F,8639.2,14490,134.18,3532,32.71,58.0,4,LGA 1700,Server,Intel
467,Intel Xeon W-2235 @ 3.80GHz,46639.2,14332,24.58,2662,4.57,130.0,6,LGA 2066,Server,Intel
478,Intel Xeon W-2135 @ 3.70GHz,80616.0,14109,14.0,2592,2.57,140.0,6,LGA 2066,Server,Intel
479,Intel Xeon E-2374G @ 3.70GHz,28560.0,14086,39.46,3445,9.65,80.0,4,LGA 1200,Server,Intel
480,AMD Ryzen 5 2600X,12351.2,14053,91.02,2406,15.58,95.0,6,AM4,Desktop,AMD
486,Intel Core i5-10600 @ 3.30GHz,17599.2,13928,63.31,2911,13.23,65.0,6,LGA 1200,Desktop,Intel
492,Intel Core i5-11500T @ 1.50GHz,15360.0,13820,71.98,2571,13.39,35.0,6,LGA 1200,Desktop,Intel
493,Intel Xeon W-1250 @ 3.30GHz,24991.2,13799,44.17,2859,9.15,80.0,6,LGA 1200,Server,Intel
497,Intel Xeon W-1270TE @ 2.00GHz,29360.0,13553,36.93,2796,7.62,35.0,8,LGA 1200,Server,Intel
509,AMD Ryzen 5 3500X,14796.0,13319,72.01,2525,13.65,65.0,6,AM4,Desktop,AMD
512,AMD Ryzen 5 2600,9990.4,13195,105.66,2250,18.02,65.0,6,AM4,Desktop,AMD
514,Intel Xeon E-2334 @ 3.40GHz,24479.2,13189,43.1,3244,10.6,65.0,4,LGA 1200,Server,Intel
518,Intel Core i7-10700T @ 2.00GHz,35839.2,13119,29.28,2661,5.94,35.0,8,LGA 1200,Desktop,Intel
520,Intel Core i5-11400T @ 1.30GHz,14560.0,13078,71.86,2549,14.0,35.0,6,LGA 1200,Desktop,Intel
521,Intel Core i5-10500 @ 3.10GHz,16790.4,13056,62.21,2785,13.27,65.0,6,LGA 1200,Desktop,Intel
526,AMD Ryzen 5 1600X,13556.8,12943,76.38,2183,12.88,95.0,6,AM4,Desktop,AMD
528,Intel Core i7-7800X @ 3.50GHz,15999.2,12864,64.33,2414,12.07,140.0,6,LGA 2066,Desktop,Intel
