,name,count,capacity,freq,timings,formFactor,type,price,link,value
20,Kingston Fury Beast Black KF426C16BBK2/16 ,2,8,2666,16-18-18,"DIMM, 288-pin",DDR4 ,4090,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-2666mhz-kingston-kf426c16bbk2-16-rtl-pc4-21300-cl16-1560735/,0.6537897310513447
21,Digma DGMAS31600004D ,1,4,1600,11-11-11-28,"SO-DIMM, 204-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-digma-dgmas31600004d-rtl-pc3-12800-cl11-so-dim-1784232/,2.030379746835443
22,Patriot PSD38G16002 ,1,8,1600,11-11-11,"DIMM, 240-pin",DDR3 ,1690,https://www.citilink.ru/product/modul-pamyati-patriot-xms3-dhx-psd38g16002-ddr3-8gb-1600-dimm-ret-352753/,0.9514792899408283
24,Patriot PSD38G16002S ,1,8,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,1590,https://www.citilink.ru/product/modul-pamyati-patriot-psd38g16002s-ddr3-8gb-1600-so-dimm-ret-352745/,1.0113207547169811
25,AMD Radeon R7 Performance Series R748G2400S2S-U ,1,8,2400,16-16-16-36,"SO-DIMM, 260-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-2400mhz-amd-r748g2400s2s-u-radeon-r7-performance-serie-1777113/,1.5144654088050316
26,Digma DGMAD43200008S ,1,8,3200,22-22-22-52,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-digma-dgmad43200008s-rtl-pc4-25600-cl22-dimm-2-1784387/,2.153020134228188
27,NETAC Basic NTBSD3P16SP-08 ,1,8,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,1290,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-netac-ntbsd3p16sp-08-basic-rtl-pc3-12800-cl11-1740126/,1.2465116279069768
28,Kingston VALUERAM KVR16S11S8/4WP ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,1990,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-kingston-kvr16s11s8-4wp-rtl-pc3-12800-cl11-204-1508035/,0.8060301507537689
30,AMD Radeon R7 Performance Series R7416G2606U2S-U ,1,16,2666,16-18-18-35,"DIMM, 288-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-amd-r7416g2606u2s-u-radeon-r7-performance-ser-1667202/,0.8969899665551839
32,Digma DGMAD31600008D ,1,8,1600,11-11-11-28,"DIMM, 240-pin",DDR3L,1290,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-digma-dgmad31600008d-rtl-pc3-12800-cl11-dimm-2-1784252/,1.2465116279069768
33,Digma DGMAD31333004D ,1,4,1333,9-9-9-24,"DIMM, 240-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1333mhz-digma-dgmad31333004d-rtl-pc3-10600-cl9-dimm-24-1784224/,1.6924050632911394
34,Kingston Fury Beast Black KF432C16BB1/16 ,1,16,3200,16-18-18,"DIMM, 288-pin",DDR4 ,3990,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kf432c16bb1-16-rtl-pc4-25600-cl16-di-1560164/,0.806015037593985
36,Digma DGMAD31600004D ,1,4,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-digma-dgmad31600004d-rtl-pc3-12800-cl11-dimm-2-1784237/,2.030379746835443
38,Kingston Fury Beast RGB KF432C16BB1AK2/32 ,2,16,3200,16-18-18,"DIMM, 288-pin",DDR4 ,8790,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3200mhz-kingston-kf432c16bb1ak2-32-fury-beast-rgb-r-1808884/,0.3658703071672355
39,Kingston VALUERAM KVR16LS11/8WP ,1,8,1600,11-11-11,"SO-DIMM, 204-pin",DDR3L,3990,https://www.citilink.ru/product/pamyat-ddr3l-8gb-1600mhz-kingston-kvr16ls11-8wp-rtl-pc3-12800-cl11-so-1520961/,0.4030075187969925
41,Kingston Fury Beast KF556C40BBK2-32 ,2,16,5600,40-40-40,"DIMM, 288-pin",DDR5 ,12490,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-5600mgc-kingston-kf556c40bbk2-32-fury-beast-rtl-cl4-1676549/,0.44963971176941553
45,AMD R534G1601U1S-U ,1,4,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,790,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-amd-r534g1601u1s-u-rtl-pc3-12800-cl11-dimm-240-1777111/,2.030379746835443
47,Crucial CT16G4DFRA32A ,1,16,3200,22-22-22,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-crucial-ct16g4dfra32a-rtl-pc4-25600-cl22-dimm-1825001/,0.8715447154471545
49,Kingston Fury Beast Black KF436C18BBK2/32 ,2,16,3600,18-22-22,"DIMM, 288-pin",DDR4 ,8490,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3600mhz-kingston-kf436c18bbk2-32-rtl-pc4-28800-cl18-1561161/,0.42591283863368673
50,AMD R538G1601U2S-U ,1,8,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,1190,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-amd-r538g1601u2s-u-rtl-pc3-12800-cl11-udimm-24-1777082/,1.3512605042016808
51,Kingston VALUERAM KVR32N22S6/8 ,1,8,3200,22-22-22,"DIMM, 288-pin",DDR4 ,1990,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kvr32n22s6-8-rtl-pc4-25600-cl22-dimm-1430233/,1.6120603015075379
52,Kingston VALUERAM KVR26S19S8/8 ,1,8,2666,19-19-19,"SO-DIMM, 260-pin",DDR4 ,1990,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26s19s8-8-ddr4-8gb-2666-so-dimm-ret-1107382/,1.3437185929648243
53,Kingston Fury Renegade Black KF436C16RBK2/16 ,2,8,3600,16-20-20,"DIMM, 288-pin",DDR4 ,4890,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-kingston-kf436c16rbk2-16-rtl-cl17-dimm-288-p-1560210/,0.7378323108384458
54,Kingston Fury Renegade Black KF432C16RBK2/16 ,2,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4590,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432c16rbk2-16-rtl-pc4-25600-cl16-1560205/,0.6989106753812636
55,Kingston Fury Beast KF436C17BBK2/16 ,2,8,3600,17-21-21,"DIMM, 288-pin",DDR4 ,4590,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-kingston-kf436c17bbk2-16-rtl-cl17-dimm-288-p-1560206/,0.7860566448801742
56,KINGSPEC KS1600D3P13508G ,1,8,1600,11-11-11,"DIMM, 240-pin",DDR3L,1190,https://www.citilink.ru/product/pamyat-ddr3l-8gb-1600mhz-kingspec-ks1600d3p13508g-rtl-pc3-12800-dimm-2-1742092/,1.3512605042016808
58,NETAC Basic NTBSD3P16SP-04 ,1,4,1600,11-11-11-28,"DIMM, 240-pin",DDR3 ,750,https://www.citilink.ru/product/pamyat-ddr3-4gb-1600mhz-netac-ntbsd3p16sp-04-basic-rtl-pc3-12800-cl11-1740127/,2.1386666666666665
60,Patriot PSD22G8002S ,1,2,800,6-6-6,"SO-DIMM, 200-pin",DDR2 ,1090,https://www.citilink.ru/product/modul-pamyati-patriot-psd22g8002s-ddr2-2gb-800-so-dimm-ret-505550/,0.7357798165137615
61,Crucial CT8G4SFRA32A ,1,8,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,1790,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-crucial-ct8g4sfra32a-rtl-pc4-25600-cl22-so-dim-1825005/,1.7921787709497206
63,Kingston Fury Beast RGB KF436C18BBAK2/32 ,2,16,3600,18-22-22,"DIMM, 288-pin",DDR4 ,8990,https://www.citilink.ru/product/pamyat-ddr4-2x16gb-3600mhz-kingston-kf436c18bbak2-32-fury-beast-rgb-rt-1808896/,0.40222469410456063
64,Patriot PSD34G16002S ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,950,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g16002s-ddr3-4gb-1600-so-dimm-ret-889868/,1.6884210526315788
65,Patriot Viper EliteII PVE2416G266C6K ,2,8,2666,16-17-17-36,"DIMM, 288-pin",DDR4 ,3490,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-2666mhz-patriot-pve2416g266c6k-viper-eliteii-rtl-pc4-1604407/,0.766189111747851
66,Kingston Fury Beast Black RGB KF432C16BBA/8 ,1,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,2290,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kf432c16bba-8-fury-beast-black-rgb-rt-1790365/,1.4008733624454148
67,NETAC Basic NTBSD4N32SP-16 ,1,16,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,3190,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-netac-ntbsd4n32sp-16-basic-oem-pc4-25600-cl22-1740128/,1.0081504702194357
68,Patriot PSD22G80026 ,1,2,800,6-6-6,"DIMM, 240-pin",DDR2 ,1090,https://www.citilink.ru/product/modul-pamyati-patriot-psd22g80026-ddr2-2gb-800-dimm-ret-62890/,0.7357798165137615
69,Patriot Signature PSD48G320081S ,1,8,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-patriot-psd48g320081s-signature-rtl-cl19-so-di-1715021/,2.153020134228188
70,Kingston VALUERAM KVR26N19S8/8 ,1,8,2666,19-19-19,"DIMM, 288-pin",DDR4 ,1990,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s8-8-ddr4-8gb-2666-dimm-ret-1107375/,1.3437185929648243
71,Kingston Fury Beast KF552C40BBK2-32 ,2,16,5200,40-40-40,"DIMM, 288-pin",DDR5 ,11290,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-5200mhz-kingston-kf552c40bbk2-32-fury-beast-rtl-cl4-1628858/,0.4620017714791851
72,NETAC Basic NTBSD4P32SP-08 ,1,8,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-netac-ntbsd4p32sp-08-basic-rtl-pc4-25600-cl6-d-1740123/,2.0176100628930818
73,Kingston Fury Beast RGB KF432C16BB1A/16 ,1,16,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4390,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-kingston-kf432c16bb1a-16-rtl-pc4-25600-cl16-d-1560744/,0.7325740318906606
75,Kingston VALUERAM KVR26N19S6/8 ,1,8,2666,19-19-19,"DIMM, 288-pin",DDR4 ,1990,https://www.citilink.ru/product/modul-pamyati-kingston-valueram-kvr26n19s6-8-ddr4-8gb-2666-dimm-ret-1421635/,1.3437185929648243
76,Kingston KVR16S11/8WP ,1,8,1600,11-11-11,"SO-DIMM, 204-pin",DDR3 ,3890,https://www.citilink.ru/product/pamyat-ddr3-8gb-1600mhz-kingston-kvr16s11-8wp-rtl-pc3-12800-cl11-so-di-1520960/,0.4133676092544987
77,Patriot Signature PSD44G266681 ,1,4,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,1090,https://www.citilink.ru/product/modul-pamyati-patriot-signature-psd44g266681-ddr4-4gb-2666-dimm-ret-1147805/,2.4495412844036695
78,Patriot Viper 3 PV316G186C0K ,2,8,1866,10-11-10-30,"DIMM, 240-pin",DDR3 ,3790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv316g186c0k-ddr3-2x-8gb-1866-dimm-ret-1007729/,0.49445910290237466
80,Kingston Fury Impact KF432S20IB/8 ,1,8,3200,20-22-22,"SO-DIMM, 260-pin",DDR4 ,1990,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kf432s20ib-8-rtl-pc4-25600-cl20-so-di-1560751/,1.6120603015075379
81,NETAC Basic NTBSD4P32SP-16 ,1,16,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-netac-ntbsd4p32sp-16-basic-rtl-pc4-25600-cl6-1740121/,1.1128027681660901
82,Kingston Fury Beast KF552C40BB-16 ,1,16,5200,40-40-40,"DIMM, 288-pin",DDR5 ,5490,https://www.citilink.ru/product/pamyat-ddr5-16gb-5200mhz-kingston-kf552c40bb-16-fury-beast-rtl-cl40-di-1628857/,0.9500910746812385
83,Crucial CT16G4SFRA32A ,1,16,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,3790,https://www.citilink.ru/product/pamyat-ddr4-16gb-3200mhz-crucial-ct16g4sfra32a-rtl-pc4-25600-cl22-so-d-1825007/,0.8485488126649077
84,Kingston VALUERAM KVR32S22S6/8 ,1,8,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,2090,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-kingston-kvr32s22s6-8-valueram-rtl-pc4-25600-c-1651575/,1.5349282296650717
85,A-Data Premier AD4S32008G22-RGN ,1,8,3200,22-22-22,"SO-DIMM, 260-pin",DDR4 ,1590,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-a-data-ad4s32008g22-rgn-rtl-pc4-25600-cl22-so-1839861/,2.0176100628930818
86,Patriot Viper Steel PVS416G320C6 ,1,16,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,3490,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g320c6-ddr4-16gb-3200-dimm-ret-1175241/,0.921489971346705
88,Patriot Viper 4 Blackout PVB416G320C6K ,2,8,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/modul-pamyati-patriot-viper-4-blackout-pvb416g320c6k-ddr4-2x-8gb-3200-1210863/,0.8693766937669377
89,A-Data Premier AD4U26668G19-RGN ,1,8,2666,19-19-19,"DIMM, 288-pin",DDR4 ,1690,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-a-data-ad4u26668g19-rgn-rtl-pc4-25600-cl19-dim-1839866/,1.5822485207100592
90,Patriot PSD34G1600L81S ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3L,890,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g1600l81s-ddr3l-4gb-1600-so-dimm-ret-486726/,1.8022471910112359
92,Digma DGMAS43200008S ,1,8,3200,22-22-22-52,"SO-DIMM, 260-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-digma-dgmas43200008s-rtl-pc4-25600-cl22-so-dim-1784367/,2.153020134228188
93,Patriot Viper Elite II PVE2416G320C8K ,2,8,3200,18-22-22-42,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-patriot-pve2416g320c8k-rtl-pc4-25600-cl18-di-1554998/,0.8693766937669377
94,Kingston VALUERAM KVR16LS11/4WP ,1,4,1600,11-11-11,"SO-DIMM, 204-pin",DDR3L,2190,https://www.citilink.ru/product/pamyat-ddr3l-4gb-1600mhz-kingston-kvr16ls11-4wp-rtl-pc3-12800-cl11-so-1520889/,0.7324200913242008
95,Digma DGMAD42666008D ,1,8,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-digma-dgmad42666008d-rtl-pc4-21300-cl19-dimm-2-1892914/,1.7946308724832214
96,Kingston Fury Beast Black KF426C16BB/8 ,1,8,2666,16-18-18,"DIMM, 288-pin",DDR4 ,1990,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-kingston-kf426c16bb-8-rtl-pc4-21300-cl16-dimm-1560734/,1.3437185929648243
97,Patriot Signature PSD416G266681S ,1,16,2666,19-19-19-43,"SO-DIMM, 260-pin",DDR4 ,2890,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-patriot-psd416g266681s-rtl-pc4-21300-cl17-so-1396311/,0.9280276816608997
98,Patriot PSD34G133381 ,1,4,1333,9-9-9,"DIMM, 240-pin",DDR3 ,890,https://www.citilink.ru/product/modul-pamyati-patriot-psd34g133381-ddr3-4gb-1333-dimm-ret-867169/,1.5022471910112358
99,Patriot Signature PSD416G266681 ,1,16,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-patriot-psd416g266681-rtl-pc4-21300-cl19-dimm-1391625/,0.8969899665551839
100,AMD Radeon R7 Performance Series R748G2133U2S-U ,1,8,2133,15-15-15-35,"DIMM, 288-pin",DDR4 ,1290,https://www.citilink.ru/product/pamyat-ddr4-8gb-2133mhz-amd-r748g2133u2s-u-radeon-r7-performance-serie-1777088/,1.6596899224806203
102,Corsair Vengeance LPX CMK16GX4M2A2666C16 ,2,8,2666,16-18-18-36,"DIMM, 288-pin",DDR4 ,5690,https://www.citilink.ru/product/modul-pamyati-corsair-vengeance-lpx-cmk16gx4m2a2666c16-ddr4-2x-8gb-266-330745/,0.4699472759226714
103,Kingston Fury Renegade RGB KF436C16RBAK2/16 ,2,8,3600,16-20-20,"DIMM, 288-pin",DDR4 ,5790,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3600mhz-kingston-kf436c16rbak2-16-rtl-cl16-dimm-288-1560211/,0.6231433506044904
104,NETAC Basic NTBSD4P26SP-08 ,1,8,2666,19-19-19-43,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-netac-ntbsd4p26sp-08-basic-rtl-cl19-dimm-288-p-1740124/,1.7946308724832214
105,AMD Radeon R7 Performance Series R7416G2606S2S-U ,1,16,2666,16-18-18-35,"SO-DIMM, 260-pin",DDR4 ,2990,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-amd-r7416g2606s2s-u-rtl-pc4-21300-cl16-so-dim-1517486/,0.8969899665551839
106,Kingston Fury Beast Black RGB KF432C16BBAK2/16 ,2,8,3200,16-18-18,"DIMM, 288-pin",DDR4 ,4790,https://www.citilink.ru/product/pamyat-ddr4-2x8gb-3200mhz-kingston-kf432c16bbak2-16-fury-beast-black-r-1790366/,0.6697286012526096
107,Patriot Viper Elite II PVE248G320C8 ,1,8,3200,18-22-22-42,"DIMM, 288-pin",DDR4 ,1790,https://www.citilink.ru/product/pamyat-ddr4-8gb-3200mhz-patriot-pve248g320c8-rtl-pc4-25600-cl18-dimm-2-1554989/,1.7921787709497206
108,Patriot Viper EliteII PVE248G266C6 ,1,8,2666,16-17-17-36,"DIMM, 288-pin",DDR4 ,1690,https://www.citilink.ru/product/pamyat-ddr4-8gb-2666mhz-patriot-pve248g266c6-viper-eliteii-rtl-pc4-213-1616711/,1.5822485207100592
109,Kingston Fury Beast Black KF432C16BB/32 ,1,32,3200,16-20-20,"DIMM, 288-pin",DDR4 ,7190,https://www.citilink.ru/product/pamyat-ddr4-32gb-3200mhz-kingston-kf432c16bb-32-rtl-pc4-25600-cl16-dim-1560896/,0.4495132127955494
110,Kingston Fury Beast KF560C40BBK2-32 ,2,16,6000,40-40-40,"DIMM, 288-pin",DDR5 ,13890,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-6000mhz-kingston-kf560c40bbk2-32-fury-beast-rtl-cl4-1676551/,0.43311735061195106
111,AMD Radeon R7 Performance Series R748G2400U2S-UO ,1,8,2400,16-16-16-36,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/modul-pamyati-amd-radeon-r7-performance-series-r748g2400u2s-uo-ddr4-8g-1007258/,1.6161073825503354
113,Patriot Viper Steel PVS416G300C6K ,2,8,3000,16-18-18-36,"DIMM, 288-pin",DDR4 ,3990,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs416g300c6k-ddr4-2x-8gb-3000-dimm-1118311/,0.7538847117794486
114,Kingston Fury Beast KF548C38BBK2-32 ,2,16,4800,38-38-38,"DIMM, 288-pin",DDR5 ,11490,https://www.citilink.ru/product/pamyat-ddr5-2x16gb-4800mhz-kingston-kf548c38bbk2-32-fury-beast-rtl-pc5-1628860/,0.4191470844212358
115,AMD Radeon R7 Performance Series R744G2400S1S-U ,1,4,2400,16-16-16-36,"SO-DIMM, 260-pin",DDR4 ,890,https://www.citilink.ru/product/pamyat-ddr4-4gb-2400mhz-amd-r744g2400s1s-u-radeon-r7-performance-serie-1795561/,2.701123595505618
116,AMD Radeon R7 Performance Series R748G2400U2S-U ,1,8,2400,16-16-16-36,"DIMM, 288-pin",DDR4 ,1490,https://www.citilink.ru/product/pamyat-ddr4-8gb-2400mhz-amd-r748g2400u2s-u-radeon-r7-performance-serie-1667203/,1.6161073825503354
117,Kingston Fury Beast KF548C38BB-16 ,1,16,4800,38-38-38,"DIMM, 288-pin",DDR5 ,5990,https://www.citilink.ru/product/pamyat-ddr5-16gb-4800mhz-kingston-kf548c38bb-16-fury-beast-rtl-pc5-384-1628859/,0.8040066777963272
118,Patriot Viper 3 PV316G160C9K ,2,8,1600,9-9-9-24,"DIMM, 240-pin",DDR3 ,3790,https://www.citilink.ru/product/modul-pamyati-patriot-viper-3-pv316g160c9k-ddr3-2x-8gb-1600-dimm-ret-498702/,0.42427440633245384
119,Patriot Viper Steel PVS48G320C6 ,1,8,3200,16-20-20-40,"DIMM, 288-pin",DDR4 ,1890,https://www.citilink.ru/product/modul-pamyati-patriot-viper-steel-pvs48g320c6-ddr4-8gb-3200-dimm-ret-1172741/,1.6973544973544972
120,Kingston VALUERAM KVR26N19S8/16 ,1,16,2666,19-19-19,"DIMM, 288-pin",DDR4 ,3690,https://www.citilink.ru/product/pamyat-ddr4-16gb-2666mhz-kingston-kvr26n19s8-16-rtl-pc4-21300-cl19-dim-1430186/,0.7268292682926829
123,AMD Radeon R7 Performance Series R744G2133U1S-U ,1,4,2133,15-15-15-35,"DIMM, 288-pin",DDR4 ,790,https://www.citilink.ru/product/pamyat-ddr4-4gb-2133mhz-amd-r744g2133u1s-u-radeon-r7-performance-serie-1795558/,2.7050632911392407
