,name,formFactor,socket,chipset,ramType,ramSlots,ramFreq,maxRam,powerPin,price,link
192,GIGABYTE H610M K DDR4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,6990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-h610m-k-ddr4-soc-1700-intel-h610-2xddr4-ma-1893609/
193,ASUS TUF GAMING Z790-PLUS WIFI D4,ATX,LGA 1700,Intel Z790,DDR4 ,4,3200,128,24+8+4 ,27990,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-z790-plus-wifi-d4-soc-1700-intel-z7-1868490/
194,ASUS TUF GAMING B650M-PLUS,mATX,AM5,AMD B650,DDR5 ,4,5200,128,24+8+4 ,22060,https://www.citilink.ru/product/materinskaya-plata-asus-tuf-gaming-b650m-plus-socketam5-amd-b650-4xddr-1877961/
195,ASUS PRIME H610M-D D4,mATX,LGA 1700,Intel H610,DDR4 ,2,3200,64,24+8 ,7990,https://www.citilink.ru/product/materinskaya-plata-asus-prime-h610m-d-d4-soc-1700-intel-h610-2xddr4-ma-1676845/
196,GIGABYTE B760 AORUS ELITE AX,ATX,LGA 1700,Intel B760,DDR5 ,4,4800,128,24+8+4 ,18990,https://www.citilink.ru/product/materinskaya-plata-gigabyte-b760-aorus-elite-ax-soc-1700-intel-b760-4x-1893264/
197,ASUS ROG STRIX Z790-I GAMING WIFI,mini-ITX,LGA 1700,Intel Z790,DDR5 ,2,5600,64,24+8 ,45990,https://www.citilink.ru/product/materinskaya-plata-asus-rog-strix-z790-i-gaming-wifi-soc-1700-intel-z7-1868470/
198,ASUS ROG CROSSHAIR VIII HERO(WI-FI),ATX,AM4,AMD X570,DDR4 ,4,3200,128,24+8+4 ,36590,https://www.citilink.ru/product/materinskaya-plata-asus-rog-crosshair-viii-hero-wi-fi-soc-am4-amd-x570-1495446/
199,ASUS PRO Q670M-C-CSM,mATX,LGA 1700,Intel Q670,DDR5 ,4,4800,128,24+8 ,16990,https://www.citilink.ru/product/materinskaya-plata-asus-pro-q670m-c-csm-soc-1700-intel-q670-4xddr5-mat-1847499/
200,ASROCK H670 STEEL LEGEND,ATX,LGA 1700,Intel H670,DDR4 ,4,3200,128,24+8+4 ,14290,https://www.citilink.ru/product/materinskaya-plata-asrock-h670-steel-legend-soc-1700-intel-h610-4xddr4-1698595/
201,ASROCK H670 PG RIPTIDE,ATX,LGA 1700,Intel H670,DDR4 ,4,3200,128,24+8+4 ,12990,https://www.citilink.ru/product/materinskaya-plata-asrock-h670-pg-riptide-soc-1700-intel-h670-4xddr4-a-1787900/
